,Student name,Image_ID,Dissected?,Replicate,Pop,Assay,Parent_Gen,Incubator_Temp,WB_Temp,Sex,Femur_Length,Wing_Length,Body_Area,Comments,No_wing,No_femur
,,,,,,,,,,,,,,,,
,,IMG01036,N,1,6,PA,0,27,27,F,NA,NA,749.476,,,
,,IMG01037,Y,1,6,PA,0,27,27,F,11.47,44.795,NA,,,
,,IMG01038,N,2,6,PA,0,27,27,F,NA,NA,855.479,,,
,,IMG01039,Y,2,6,PA,0,27,27,F,11.591,49.508,NA,,,
,,IMG01040,N,3,6,PA,0,27,27,F,NA,NA,763.716,,,
,,IMG01041,Y,3,6,PA,0,27,27,F,12.649,48.726,NA,,,
,Trisha,IMG05414,N,4,6,PA,0,27,27,F,NA,NA,738.602,,,
,Trisha,IMG05415,Y,4,6,PA,0,27,27,F,11.295,50.912,NA,,,
,Trisha,IMG05416,N,5,6,PA,0,27,27,F,NA,NA,734.12,,,
,Trisha,IMG05417,Y,5,6,PA,0,27,27,F,12.548,50.679,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01090,N,1,6,PA,0,27,29,F,NA,NA,871.094,,,
,,IMG01091,Y,1,6,PA,0,27,29,F,12.137,45.152,NA,,,
,,IMG01092,N,2,6,PA,0,27,29,F,NA,NA,957.964,,,
,,IMG01093,Y,2,6,PA,0,27,29,F,13.366,46.568,NA,,,
,,IMG01094,N,3,6,PA,0,27,29,F,NA,NA,872.596,,,
,,IMG01095,Y,3,6,PA,0,27,29,F,12.81,43.154,NA,,,
,Trisha,IMG05450,N,4,6,PA,0,27,29,F,NA,NA,856.661,,,
,Trisha,IMG05451,Y,4,6,PA,0,27,29,F,11.743,50.295,NA,,,
,Trisha,IMG05452,N,5,6,PA,0,27,29,F,NA,NA,818.513,,,
,Trisha,IMG05453,Y,5,6,PA,0,27,29,F,11.713,48.218,NA,,,
,,,,,,,,,,,,,,,,
,,IMG01138,N,1,6,PA,0,27,31,F,NA,NA,706.2,,,
,,IMG01139,Y,1,6,PA,0,27,31,F,11.161,38.952,NA,,,
,,IMG01140,N,2,6,PA,0,27,31,F,NA,NA,555.638,,,
,,IMG01141,Y,2,6,PA,0,27,31,F,11.234,36.826,NA,,,
,,IMG01142,N,3,6,PA,0,27,31,F,NA,NA,627.218,,,
,,IMG01143,Y,3,6,PA,0,27,31,F,11.362,36.014,NA,,,
,Trisha,IMG05486,N,4,6,PA,0,27,31,F,NA,NA,804.97,,,
,Trisha,IMG05487,Y,4,6,PA,0,27,31,F,11.495,46.382,NA,,,
,Trisha,IMG05488,N,5,6,PA,0,27,31,F,NA,NA,673.291,,,
,Trisha,IMG05489,Y,5,6,PA,0,27,31,F,11.053,46.786,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00934,N,1,7,PA,0,Flux,23,F,NA,NA,914.272,,,
,,IMG00935,Y,1,7,PA,0,Flux,23,F,11.801,49.833,NA,,,
,,IMG00936,N,2,7,PA,0,Flux,23,F,NA,NA,927.656,,,
,,IMG00937,Y,2,7,PA,0,Flux,23,F,12.089,48.164,NA,,,
,,IMG00938,N,3,7,PA,0,Flux,23,F,NA,NA,717.15,,,
,,IMG00939,Y,3,7,PA,0,Flux,23,F,12.676,49.761,NA,,,
,Trisha,IMG05350,N,4,7,PA,0,Flux,23,F,NA,NA,915.091,,,
,Trisha,IMG05351,Y,4,7,PA,0,Flux,23,F,13.199,50.48,NA,,,
,Trisha,IMG05352,N,5,7,PA,0,Flux,23,F,NA,NA,860.63,,,
,Trisha,IMG05353,Y,5,7,PA,0,Flux,23,F,12.773,52.509,NA,,,
,,,,,,,,,,,,,,,,
,,IMG00988,N,1,7,PA,0,Flux,25,F,NA,NA,650.638,,,
,,IMG00989,Y,1,7,PA,0,Flux,25,F,12.744,40.725,NA,,,
,,IMG00990,N,2,7,PA,0,Flux,25,F,NA,NA,697.23,,,
,,IMG00991,Y,2,7,PA,0,Flux,25,F,11.543,39.95,NA,,,
,,IMG00992,N,3,7,PA,0,Flux,25,F,NA ,NA,677.025,,,
,,IMG00993,Y,3,7,PA,0,Flux,25,F,12.266,42.306,NA,,,
